Date,Category,Publisher,Heading,URL,,,,,,,
2020-01-22,Community Policing & Demographics,The Star,"Ex-Toronto cop James Forcillo granted full parole, four years after attempted murder conviction in death of Sammy Yatim",https://www.thestar.com/news/gta/2020/01/21/ex-toronto-cop-james-forcillo-granted-full-parole-four-years-after-attempted-murder-conviction-in-death-of-sammy-yatim.html,,,,,,,
2020-01-22,Traffic,The Star,Two pedestrians killed in separate collisions in GTA on Tuesday morning,https://www.thestar.com/news/gta/2020/01/21/pedestrian-struck-and-killed-by-truck-driver-in-a-hit-and-run-in-north-york.html,,,,,,,
2020-01-22,Community Policing & Demographics,The Star,Police arrest man after investigation of taxi scam involving debit cards,https://www.thestar.com/news/gta/2020/01/21/police-arrest-man-after-investigation-of-taxi-scam-involving-debit-cards.html,,,,,,,
2020-01-23,Community Policing & Demographics,The Star,Toronto cop named to human rights watchdog by Premier Doug Ford breaks silence on controversial appointment,https://www.thestar.com/politics/provincial/2020/01/22/toronto-cop-named-to-human-rights-watchdog-by-premier-doug-ford-defends-controversial-appointment.html,,,,,,,
2020-01-23,Violent Crime,The Star,Woman in life-threatening condition after stabbing near York University,https://www.thestar.com/news/gta/2020/01/22/woman-in-life-threatening-condition-after-stabbing-near-york-university.html,,,,,,,
2020-01-23,Violent Crime,The Star,"‘He didn’t deserve to die.’ Family, community mourn 15-year-old gunned down near Scarborough school",https://www.thestar.com/news/gta/2020/01/22/he-didnt-deserve-to-die-family-community-mourn-15-year-old-gunned-down-near-scarborough-school.html,,,,,,,
2020-01-23,Violent Crime,The Star,Outrageous to grant early parole to police officer who killed Sammy Yatim,https://www.thestar.com/opinion/contributors/2020/01/22/outrageous-to-grant-early-parole-to-police-officer-who-killed-sammy-yatim.html,,,,,,,
2020-01-23,Community Policing & Demographics,The Star,Olivia Nuamah no longer head of Pride Toronto,https://www.thestar.com/news/gta/2020/01/21/olivia-nuamah-no-longer-head-of-pride-toronto.html,,,,,,,
2020-01-24,Violent Crime,The Star,"‘The whole street is left in sadness’: 54-year-old woman found dead in Oakwood-Vaughan home was victim of homicide, police say",https://www.thestar.com/news/gta/2020/01/23/the-whole-street-is-left-in-sadness-54-year-old-woman-found-dead-in-oakwood-vaughan-home-was-victim-of-homicide-police-say.html,,,,,,,
2020-01-24,Community Policing & Demographics,The Star,Black legal clinic fears the integrity of the human rights commission has been compromised by the Ford government,https://www.thestar.com/politics/provincial/2020/01/23/black-legal-clinic-fears-the-integrity-of-the-human-rights-commission-has-been-compromised-by-the-ford-government.html,,,,,,,
2020-01-25,Violent Crime,The Star,Police charge man with first-degree murder five days after Scarborough apartment fire,https://www.thestar.com/news/crime/2020/01/24/police-charge-man-with-first-degree-murder-five-days-after-scarborough-apartment-fire.html,,,,,,,
2020-01-25,Violent Crime,The Star,Toronto behavioural therapist charged with assault of eight-year-old boy,https://www.thestar.com/news/gta/2020/01/24/toronto-behavioural-therapist-charged-with-assault-of-eight-year-old-boy.html,,,,,,,
2020-01-25,Violent Crime,The Star,Accused in Tess Richey case pleads not guilty to first-degree murder,https://www.thestar.com/news/gta/2020/01/24/accused-in-tess-richey-case-pleads-not-guilty-to-first-degree-murder.html,,,,,,,
2020-01-25,Community Policing & Demographics,The Star,Ford defends ‘phenomenal’ appointment of Toronto police officer to Human Rights Commission,https://www.thestar.com/politics/provincial/2020/01/24/ford-defends-phenomenal-appointment-of-toronto-police-officer-to-human-rights-commission.html,,,,,,,
2020-01-25,Community Policing & Demographics,The Star,"Ryerson ‘has lost confidence’ in student union, drops RSU as official student government",https://www.thestar.com/news/gta/2020/01/24/ryerson-has-lost-confidence-in-student-union-drops-rsu-as-official-student-government.html,,,,,,,
2020-01-27,Violent Crime,The Star,A 28-year-old man shot in Scarborough Saturday night is the sixth homicide of the year,https://www.thestar.com/news/gta/2020/01/26/a-28-year-old-man-shot-in-scarborough-saturday-night-is-the-sixth-homicide-of-the-year.html,,,,,,,
2020-01-28,Staffing & Workload,The Star,"New shift schedule gives officers more time for crime prevention, traffic enforcement, Toronto police say",https://www.thestar.com/news/gta/2020/01/27/new-shift-schedule-gives-officers-more-time-for-crime-prevention-traffic-enforcement-toronto-police-say.html,,,,,,,
2020-01-28,Community Policing & Demographics,The Star,The Big Debate: Is the assault weapon buyback a misguided idea?,https://www.thestar.com/opinion/contributors/thebigdebate/2020/01/28/is-the-assault-weapon-buyback-a-misguided-idea.html,,,,,,,
2020-01-28,Community Policing & Demographics,The Star,"Police seek suspect after ‘unknown substance’ placed in bottles of Coke, ketchup at Runnymede and Annette convenience store",https://www.thestar.com/news/gta/2020/01/27/police-seek-suspect-after-unknown-substance-placed-in-bottles-of-coke-ketchup-at-runnymede-and-annette-convenience-store.html,,,,,,,
2020-01-29,Community Policing & Demographics,The Star,GTA mayors and police chiefs call for smarter investment on ‘unacceptable’ youth gun violence,https://www.thestar.com/news/gta/2020/01/28/gta-mayors-and-police-chiefs-call-for-smarter-investment-on-unacceptable-youth-gun-violence.html,,,,,,,
2020-01-29,Traffic,The Star,"76-year-old pedestrian killed in west-end collision, woman in life-threatening condition after Scarborough crash",https://www.thestar.com/news/gta/2020/01/28/76-year-old-pedestrian-killed-in-west-end-collision.html,,,,,,,
2020-01-29,Community Policing & Demographics,The Star,"Facial recognition technology poses ‘enormous’ potential for abuse, NDP says",https://www.thestar.com/politics/federal/2020/01/28/facial-recognition-technology-poses-enormous-potential-for-abuse-ndp-says.html,,,,,,,
2020-01-30,Violent Crime,The Star,Toronto police charge Hamilton man in alleged phone fraud scam,https://www.thestar.com/news/crime/2020/01/29/toronto-police-charge-hamilton-man-in-alleged-phone-fraud-scam.html,,,,,,,
2020-01-30,Violent Crime,The Star,What led to Dafonte Miller’s ‘horrific’ eye injury? Theriault brothers’ trial closes with perjury claims,https://www.thestar.com/news/gta/2020/01/29/closing-arguments-begin-today-in-trial-of-michael-and-christian-theriault-accused-of-beating-dafonte-miller.html,,,,,,,
2020-01-30,Community Policing & Demographics,The Star,"Ford government has floated giving itself more control over judicial appointments, documents reveal",https://www.thestar.com/news/gta/2020/01/29/ford-government-has-floated-giving-itself-more-control-over-judicial-appointments-documents-reveal.html,,,,,,,
2020-01-31,Missing Persons,The Star,"Tess Richey was killed after she refused sex, Crown argues at opening of Toronto murder trial",https://www.thestar.com/news/gta/2020/01/30/trial-to-begin-today-for-man-accused-of-killing-tess-richey.html,,,,,,,
2020-01-31,Missing Persons,The Star,Tess Richey’s death roiled Toronto. Here’s what you need to know as the trial starts for man accused of killing her,https://www.thestar.com/news/gta/2020/01/30/tess-richeys-death-roiled-toronto-heres-what-you-need-to-know-as-the-trial-starts-for-man-accused-of-killing-her.html,,,,,,,
2020-02-04,Violent Crime,The Star,Toronto rap artist among three killed in downtown Airbnb Friday. He collaborated with a local rapper killed recently in B.C.,https://www.thestar.com/news/gta/2020/02/03/toronto-rap-artist-among-three-killed-in-downtown-airbnb-friday-he-collaborated-with-a-local-rapper-killed-recently-in-bc.html,,,,,,,
2020-02-04,Community Policing & Demographics,The Star,‘It’s good to see the city invest in communities again’: Tory’s promise for $6 million to youth programs brings hope of shift on gun violence,https://www.thestar.com/news/gta/2020/02/03/days-after-airbnb-killings-mayor-tory-pledges-6-million-in-new-money-for-youth-violence-prevention.html,,,,,,,
2020-02-04,Violent Crime,The Star,"Man shot by Toronto police last month has died, SIU says",https://www.thestar.com/news/gta/2020/02/03/man-shot-by-toronto-police-last-month-has-died-siu-says.html,,,,,,,
2020-02-04,Missing Persons,The Star,What’s happened so far at the trial of the man accused of Tess Richey’s downtown Toronto murder,https://www.thestar.com/news/gta/2020/02/03/whats-happened-so-far-at-the-trial-of-the-man-accused-of-tess-richeys-downtown-toronto-murder.html,,,,,,,
2020-02-03,Violent Crime,The Star,Councillor calls on short-term rental operators to delist ‘ghost hotels’ after three killed in shooting at Toronto Airbnb,https://www.thestar.com/news/gta/2020/02/01/city-calls-on-short-rental-operators-to-delist-ghost-hotels-after-triple-homicide-at-downtown-airbnb.html,,,,,,,
2020-02-02,Violent Crime,The Star,"Arizona fugitive arrested by Toronto police, extradited back to U.S.",https://www.thestar.com/news/world/us/2020/02/01/digital-footprints-lead-cops-to-arizona-fugitive-in-canada.html,,,,,,,
2020-02-01,Violent Crime,The Star,"Three dead, two injured in shooting at Airbnb rental in downtown Toronto",https://www.thestar.com/news/gta/2020/01/31/four-injured-possibly-two-in-life-threatening-condition-after-shooting-downtown.html,,,,,,,
2020-02-01,Violent Crime,The Star,Toronto van attack driver Alek Minassian’s trial will begin April 6,https://www.thestar.com/news/gta/2020/01/31/toronto-van-attack-driver-alek-minassians-trial-will-begin-april-6.html,,,,,,,
2020-02-01,Missing Persons,The Star,Sister describes family’s discovery of Tess Richey’s body at murder trial,https://www.thestar.com/news/gta/2020/01/31/sister-describes-familys-discovery-of-tess-richeys-body-at-murder-trial.html,,,,,,,
